requirement_id,section_id,domain,status
SECURITY-001,S05,security,in-review
SECURITY-002,S05,security,in-review
SECURITY-003,S05,security,in-review
SECURITY-004,S05,security,in-review
MODEL-001,S06,model,in-review
MODEL-002,S06,model,in-review
MODEL-003,S06,model,in-review
MODEL-004,S06,model,in-review
MODEL-005,S06,model,in-review
NORM-001,S07,normalization,in-review
NORM-002,S07,normalization,in-review
NORM-003,S07,normalization,in-review
NORM-004,S07,normalization,in-review
NORM-005,S07,normalization,in-review
ORCH-001,S08,orchestration,in-review
ORCH-002,S08,orchestration,in-review
ORCH-003,S08,orchestration,in-review
ORCH-004,S08,orchestration,in-review
ORCH-005,S08,orchestration,in-review
PROVIDER-001,S09,provider,in-review
PROVIDER-002,S09,provider,in-review
PROVIDER-003,S09,provider,in-review
PROVIDER-004,S09,provider,in-review
PROVIDER-005,S09,provider,in-review
AUDIO-001,S10,audio,in-review
AUDIO-002,S10,audio,in-review
AUDIO-003,S10,audio,in-review
AUDIO-004,S10,audio,in-review
AUDIO-005,S10,audio,in-review
RENDER-001,S11,render,in-review
RENDER-002,S11,render,in-review
RENDER-003,S11,render,in-review
RENDER-004,S11,render,in-review
RENDER-005,S11,render,in-review
ASSET-001,S12,asset,in-review
ASSET-002,S12,asset,in-review
ASSET-003,S12,asset,in-review
RIGHTS-001,S12,rights,in-review
RIGHTS-002,S12,rights,in-review
RIGHTS-003,S12,rights,in-review
APPROVAL-001,S13,approval,in-review
APPROVAL-002,S13,approval,in-review
APPROVAL-003,S13,approval,in-review
APPROVAL-004,S13,approval,in-review
COST-001,S14,cost,in-review
COST-002,S14,cost,in-review
COST-003,S14,cost,in-review
COST-004,S14,cost,in-review
COST-005,S14,cost,in-review
QUALITY-001,S15,quality,in-review
QUALITY-002,S15,quality,in-review
QUALITY-003,S15,quality,in-review
QUALITY-004,S15,quality,in-review
QUALITY-005,S15,quality,in-review
CLI-001,S16,cli,in-review
CLI-002,S16,cli,in-review
CLI-003,S16,cli,in-review
CLI-004,S16,cli,in-review
SECURITY-005,S17,security,in-review
SECURITY-006,S17,security,in-review
SECURITY-007,S17,security,in-review
SECURITY-008,S17,security,in-review
RELEASE-001,S18,release,in-review
RELEASE-002,S18,release,in-review
RELEASE-003,S18,release,in-review
RELEASE-004,S18,release,in-review
RELEASE-005,S18,release,in-review
ROLLOUT-001,S19,rollout,in-review
ROLLOUT-002,S19,rollout,in-review
ROLLOUT-003,S19,rollout,in-review
